Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,peg_distance,daily_return,dow,week_of_month,btc_close,btc_return
2025-10-10 00:00:00-04:00,99.05000305175781,99.19000244140625,98.62999725341797,98.62999725341797,1054300,0.0,0.0,-1.3700027465820312,-0.0012152176869066889,4,2,113214.3671875,-0.06976852117831744
2025-10-13 00:00:00-04:00,99.13999938964844,99.19000244140625,98.9010009765625,99.02999877929688,682400,0.0,0.0,-0.970001220703125,0.004055576771954561,0,2,115271.078125,0.018166518866759906
2025-10-14 00:00:00-04:00,99.04000091552734,99.05000305175781,98.77999877929688,98.80000305175781,901100,0.0,0.0,-1.1999969482421875,-0.002322485412240005,1,2,113118.6640625,-0.01867262888064536
2025-10-15 00:00:00-04:00,98.3499984741211,98.58699798583984,98.19999694824219,98.37999725341797,567600,0.854,0.0,-1.6200027465820312,-0.004251070702091186,2,3,110783.1640625,-0.02064646024028005
2025-10-16 00:00:00-04:00,98.56999969482422,98.6500015258789,97.08000183105469,97.30000305175781,813000,0.0,0.0,-2.6999969482421875,-0.010977782392880053,3,3,108186.0390625,-0.023443318504017374
2025-10-17 00:00:00-04:00,97.30000305175781,98.05000305175781,96.75,97.4000015258789,954700,0.0,0.0,-2.5999984741210938,0.001027733514745055,4,3,106467.7890625,-0.01588236351834038
2025-10-20 00:00:00-04:00,98.5,98.80000305175781,98.19999694824219,98.62000274658203,600700,0.0,0.0,-1.3799972534179688,0.012525679687787061,0,3,110588.9296875,0.03870786330108489
2025-10-21 00:00:00-04:00,98.6500015258789,98.75900268554688,98.43000030517578,98.625,373600,0.0,0.0,-1.375,5.0671803678792315e-05,1,3,108476.890625,-0.019098105646452646
2025-10-22 00:00:00-04:00,98.6500015258789,98.69999694824219,97.9000015258789,98.12000274658203,560300,0.0,0.0,-1.8799972534179688,-0.00512037772793883,2,4,107688.5859375,-0.007267028792566799
2025-10-23 00:00:00-04:00,98.52999877929688,98.66999816894531,98.1500015258789,98.66999816894531,481500,0.0,0.0,-1.3300018310546875,0.005605334355562208,3,4,110069.7265625,0.022111355667553845
2025-10-24 00:00:00-04:00,98.8499984741211,98.89700317382812,98.61000061035156,98.70999908447266,534400,0.0,0.0,-1.2900009155273438,0.0004054009959426619,4,4,111033.921875,0.008759859251149305
2025-10-27 00:00:00-04:00,98.93000030517578,98.93000030517578,98.30999755859375,98.5,706100,0.0,0.0,-1.5,-0.0021274347727725518,0,4,114119.328125,0.02778796063308908
2025-10-28 00:00:00-04:00,98.79000091552734,98.83999633789062,98.49500274658203,98.5999984741211,591000,0.0,0.0,-1.4000015258789062,0.001015212935239429,1,4,112956.1640625,-0.01019252462848308
2025-10-29 00:00:00-04:00,98.80999755859375,98.9000015258789,98.5999984741211,98.72000122070312,886600,0.0,0.0,-1.279998779296875,0.001217066414189949,2,5,110055.3046875,-0.025681284408657135
2025-10-30 00:00:00-04:00,98.9800033569336,99.0199966430664,98.7699966430664,98.88999938964844,994500,0.0,0.0,-1.1100006103515625,0.0017220235701300712,3,5,108305.546875,-0.015898895718551742
2025-10-31 00:00:00-04:00,99.63999938964844,99.63999938964844,99.13999938964844,99.37999725341797,1449500,0.0,0.0,-0.6200027465820312,0.004954978934106791,4,5,109556.1640625,0.011547120379193476
2025-11-03 00:00:00-05:00,99.7699966430664,99.8499984741211,99.48999786376953,99.61000061035156,1233000,0.0,0.0,-0.3899993896484375,0.0023143828063014737,0,1,106547.5234375,-0.027462084408902965
