trade_date,buy_date,sell_date,buy_price,sell_price,shares,buy_cost,sell_proceeds,gross_return,net_return,pnl,capital_before,capital_after,portfolio_value
2025-02-25,2025-02-25 00:00:00-05:00,2025-02-26 00:00:00-05:00,50.029998779296875,48.709999084472656,486,24317.010864678956,23670.692249098207,-0.026384164042203683,-0.026578867739025534,-646.3186155807489,47989.82851539031,23672.81765071136,23672.81765071136
2025-02-26,2025-02-26 00:00:00-05:00,2025-02-27 00:00:00-05:00,47.959999084472656,49.0099983215332,493,23646.643976599884,24159.512979598618,0.0218932288804086,0.02168887067045353,512.8690029987338,47832.33063030998,24185.686653710094,24185.686653710094
2025-02-27,2025-02-27 00:00:00-05:00,2025-02-28 00:00:00-05:00,47.349998474121094,46.540000915527344,510,24150.91407172394,23733.026926872255,-0.017106601577536483,-0.017303160601318566,-417.88714485168384,47918.71358058235,23767.79950885841,23767.79950885841
2025-02-28,2025-02-28 00:00:00-05:00,2025-03-03 00:00:00-05:00,47.900001525878906,52.970001220703125,496,23760.776596911623,26270.493293408203,0.1058455017393904,0.10562435475374099,2509.71669649658,50038.29280226662,26277.51620535499,26277.51620535499
2025-03-03,2025-03-03 00:00:00-05:00,2025-03-04 00:00:00-05:00,48.900001525878906,47.029998779296875,537,26261.926749478913,25252.583833547975,-0.03824136376749163,-0.03843369626148871,-1009.342915930938,51530.100038902965,25268.173289424052,25268.173289424052
2025-03-04,2025-03-04 00:00:00-05:00,2025-03-05 00:00:00-05:00,49.38999938964844,51.0099983215332,511,25240.81351707916,26063.502531389237,0.03280014075530235,0.03259360138108877,822.6890143100754,51331.67582081329,26090.862303734128,26090.862303734128
2025-03-05,2025-03-05 00:00:00-05:00,2025-03-06 00:00:00-05:00,51.439998626708984,51.154998779296875,507,26082.68731167183,25932.990822665404,-0.005540432640372002,-0.005739304666641394,-149.69648900642642,52023.85312639953,25941.1658147277,25941.1658147277
2025-03-06,2025-03-06 00:00:00-05:00,2025-03-07 00:00:00-05:00,50.63999938964844,50.66999816894531,512,25930.27245546875,25940.44475859375,0.0005923929632393951,0.00039229449449363447,10.172303125000326,51881.61057332145,25951.3381178527,25951.3381178527
2025-03-07,2025-03-07 00:00:00-05:00,2025-03-10 00:00:00-04:00,49.43000030517578,46.9900016784668,524,25903.9102919281,24620.29860342865,-0.049362707093762524,-0.0495528155414989,-1283.611688499448,50571.63672128135,24667.726429353253,24667.726429353253
2025-03-10,2025-03-10 00:00:00-04:00,2025-03-11 00:00:00-04:00,44.90999984741211,46.29999923706055,549,24658.05547522087,25416.157711188127,0.030950776984438905,0.03074460744599596,758.102235967257,50083.884140541384,25425.82866532051,25425.82866532051
2025-03-11,2025-03-11 00:00:00-04:00,2025-03-12 00:00:00-04:00,47.2400016784668,47.380001068115234,538,25417.66241510544,25487.89153058853,0.0029635771522898316,0.0027630044941251704,70.22911548309276,50913.720195909045,25496.057780803603,25496.057780803603
2025-03-12,2025-03-12 00:00:00-04:00,2025-03-13 00:00:00-04:00,47.150001525878906,47.130001068115234,540,25463.546924057006,25447.65555672455,-0.000424187849764848,-0.0006240830226775397,-15.891367332456866,50943.713337528156,25480.166413471146,25480.166413471146
2025-03-13,2025-03-13 00:00:00-04:00,2025-03-14 00:00:00-04:00,45.52000045776367,47.3849983215332,559,25448.22482391548,26485.56524033089,0.04097095441596039,0.040762781042414695,1037.340416415409,51965.73165380204,26517.506829886555,26517.506829886555
2025-03-14,2025-03-14 00:00:00-04:00,2025-03-17 00:00:00-04:00,48.13999938964844,47.15999984741211,550,26479.64736427307,25935.406116085054,-0.02035728198299599,-0.020553190935704034,-544.2412481880165,52452.912945971606,25973.26558169854,25973.26558169854
2025-03-17,2025-03-17 00:00:00-04:00,2025-03-18 00:00:00-04:00,48.060001373291016,46.82500076293945,540,25954.995981651307,25282.971861946105,-0.025697057325468675,-0.025891898429893204,-672.0241197052019,51256.23744364464,25301.241461993337,25301.241461993337
2025-03-18,2025-03-18 00:00:00-04:00,2025-03-19 00:00:00-04:00,46.810001373291016,47.7400016784668,540,25279.928481651306,25777.022946281435,0.01986755560546562,0.019663602489656172,497.09446463012864,51078.26440827477,25798.335926623466,25798.335926623466
